0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	1
0.11	1
0.12	1
0.13	1
0.14	1
0.15	1
0.16	1
0.17	1
0.18	1
0.19	1
0.2	2
0.21	2
0.22	2
0.23	2
0.24	2
0.25	2
0.26	2
0.27	2
0.28	2
0.29	2
0.3	3
0.31	3
0.32	3
0.33	3
0.34	3
0.35	3
0.36	3
0.37	3
0.38	3
0.39	3
0.4	4
0.41	4
0.42	4
0.43	4
0.44	4
0.45	4
0.46	4
0.47	4
0.48	4
0.49	4
0.5	5
0.51	5
0.52	5
0.53	5
0.54	5
0.55	5
0.56	5
0.57	5
0.58	5
0.59	5
0.6	6
0.61	6
0.62	6
0.63	6
0.64	6
0.65	6
0.66	6
0.67	6
0.68	6
0.69	6
0.7	7
0.71	7
0.72	7
0.73	7
0.74	7
0.75	7
0.76	7
0.77	7
0.78	7
0.79	7
0.8	8
0.81	8
0.82	8
0.83	8
0.84	8
0.85	8
0.86	8
0.87	8
0.88	8
0.89	8
0.9	9
0.91	9
0.92	9
0.93	9
0.94	9
0.95	9
0.96	9
0.97	9
0.98	9
0.99	9
1	9
